id;nom;description;contenu
1;assez meuh;en dépit de propre;gestionnaire résonner
2;coin-coin;grrr collègue;pacifique chier touriste
3;beaucoup membre à vie;clientèle;croâ
4;toc-toc;psitt;développer carrément membre de l’équipe
5;du fait que à l'instar de diviser;chef de cuisine rappeler;cot cot magnifique
6;assez via ouf;personnel;puis paf
7;tchou tchouu;pin-pon hi puis;bang alors que
8;tout à fait du moment que puisque;badaboum cyan jamais;fonctionnaire lentement ouah
9;en face de circuler;insipide;suivant sans que
10;circulaire ci vite;croâ disposer de manière à ce que;de façon que
